_id,drug,structure,transporter,species,geneName,geneId,type,place,method,experimentalSystem,dose,route,substanceMeasured,concomitant,time,comment,parameterType,parameter,value,units,reference,source,sourceLink,year,TransporterInfo_id,fullname,structurelink
ISTE069145,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,HL-60/ VCR cells,,,Daunorubicin,[Daunorubicin Hydrochloride],30-90 min,,IC50,IC50,1.5,uM,DOI:10.1016/S00062952(01)005998   JOURNAL:Biochemical Pharmacology   PAGES:1393   VOLUME:61,Literature,http://dx.doi.org/10.1016/S0006-2952(01)00599-8,2001,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069147,Ketoconazole,[H][C@]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C@@](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,Digoxin,[Digoxin],2.5 h,,IC50,IC50,1.5,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069148,Ketoconazole,[H][C@]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C@@](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,[Lucifer yellow],[Lucifer yellow],,,IC50,IC50,1.5,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069151,Lapatinib Ditosylate,O.CC1=CC=C(C=C1)S(O)(=O)=O.CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,Digoxin,[Digoxin],2.5 h,,IC50,IC50,1.5,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069154,Lapatinib Ditosylate,O.CC1=CC=C(C=C1)S(O)(=O)=O.CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,[Lucifer yellow],[Lucifer yellow],,,IC50,IC50,1.5,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070393,Ebastine,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing L5178 cells,,,Rhodamine 123,,,,IC50,IC50,1.5,μM,"Broccatelli, 2011",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070394,"Verapamil2,4",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Verapamil2,4",,,,IC50,IC50,1.5,μM,"Doppenshmitt, 1998",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070395,"Verapamil2,4",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,NIH/3T3 cells,,,Calcein AM,,,,IC50,IC50,1.5,μM,"Pivcevic, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE073250,Ketoconazole,[H][C@]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C@@](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,1-1000 uM,,[3H]-digoxin,[Digoxin],2 h,,IC50,IC50 BA/AB,1.5,uM,DOI:10.1021/mp900174z   JOURNAL:Molecular Pharmaceutics   PAGES:398   VOLUME:7,Literature,http://dx.doi.org/10.1021/mp900174z,2010,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097872,"Quinidine1,2,4",COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1-expressing Caco2 cells,,,Paclitaxel,,,,Ki,Ki,1.5,μM,"Gao, 2001",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069156,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,0.1-100 uM,,Quinidine,[Quinidine Sulfate],20-30 min,,IC50,IC50,1.51,uM,DOI:10.1007/s1331811469   JOURNAL:European Journal of Drug Metabolism and Pharmacokinetics   PAGES:115   VOLUME:36,Literature,http://dx.doi.org/10.1007/s13318-011-0046-9,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069159,Afatinib Dimaleate,OC(=O)\C=C/C(O)=O.CN(C)C\C=C\C(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1O[C@H]1CCOC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,LLC-PK1 cells,,,Digoxin,[Digoxin],,,IC50,IC50,1.59,uM,"EMA approval document: Assessment Report EMA/491185/2013; EMEA/H/C/002280, page:44 PDF 5069k",EMA approval document,,2013,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069160,Afatinib Dimaleate,OC(=O)\C=C/C(O)=O.CN(C)C\C=C\C(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1O[C@H]1CCOC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,LLC-PK1 cells,,,Digoxin,[Digoxin],,,IC50,IC50,1.6,uM,"EMA approval document: Assessment Report EMA/491185/2013; EMEA/H/C/002280, page:21 PDF 5069k",EMA approval document,,2013,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069161,Afatinib Dimaleate,OC(=O)\C=C/C(O)=O.CN(C)C\C=C\C(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1O[C@H]1CCOC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,LLC-PK1 cells,,,Digoxin,[Digoxin],,,IC50,IC50,1.6,uM,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 201292/S-000 Part 02, page:30 PDF 9630k",FDA approval package document,,2013,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069164,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562/ DOX cells,,,Pirarubicin,[Pirarubicin],,,IC50,IC50,1.6,uM,DOI:10.1016/j.bmcl.2010.11.059   JOURNAL:Bioorganic and Medicinal Chemistry Letters   PAGES:106   VOLUME:21,Literature,http://dx.doi.org/10.1016/j.bmcl.2010.11.059,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069166,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562/ DOX cells,,,Pirarubicin,[Pirarubicin],,,IC50,IC50,1.6,uM,DOI:10.1021/jm8012745   JOURNAL:Journal of Medicinal Chemistry   PAGES:807   VOLUME:52,Literature,http://dx.doi.org/10.1021/jm8012745,2009,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069169,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562/ DOX cells,0-10 uM,,Pirarubicin,[Pirarubicin],,,IC50,IC50,1.6,uM,DOI:10.1021/jm9016174   JOURNAL:Journal of Medicinal Chemistry   PAGES:1755   VOLUME:53,Literature,http://dx.doi.org/10.1021/jm9016174,2010,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070396,Cyclosporine2,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCK II-MDR1 cells,,,"Digoxin1,3",,,,IC50,IC50,1.6,μM,"Rautio, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070397,Mibefradil,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Digoxin1,3",,,,IC50,IC50,1.6,μM,"Wandel, 2000",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070398,Pentachlorophenol,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCKII cells,,,Calcein AM,,,,IC50,IC50,1.6,μM,"Georgantzopoulou, 2014",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE073252,Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Digoxin,[Digoxin],,,IC50,IC50 BA/AB,1.6,uM,JOURNAL:Drug Metabolism and Disposition   PAGES:895   VOLUME:28,Literature,,2000,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069172,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,SH-SY-5Y cells,<=10 uM,,Hoechst 33342,[Hoechst 33342],40 min,,IC50,IC50,1.66,uM,DOI:10.1016/j.toxlet.2015.04.005   ISSN:03784274   JOURNAL:Toxicology Letters   PAGES:189   VOLUME:235,Literature,http://dx.doi.org/10.1016/j.toxlet.2015.04.005,2015,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069173,Sirolimus,CO[C@@H]1C[C@@H](CC[C@H]1O)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"MDCKII-MDR1 cells, recombinant",0.01-10 uM,,Calcein AM,[Calcein acetomethoxy ester],,,IC50,IC50,1.67,uM,DOI:10.1038/clpt.2009.266   JOURNAL:Clinical Pharmacology and Therapeutics   PAGES:663   VOLUME:87,Literature,http://dx.doi.org/10.1038/clpt.2009.266,2010,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069174,Itraconazole,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"NIH-MDR-G185 cells, recombinant",0-100 uM,,Vanadate,[Vanadate],,,IC50,IC50,1.7,uM,DOI:10.1128/AAC.46.1.160165.2002   JOURNAL:Antimicrobial Agents and Chemotherapy   PAGES:160   VOLUME:46,Literature,http://dx.doi.org/10.1128/AAC.46.1.160-165.2002,2002,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069178,Lopinavir,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,1-30 uM,,Rhodamine 123,[Rhodamine],30-60 min,,IC50,IC50,1.7,uM,DOI:10.1097/0000203020030502000023   JOURNAL:AIDS   PAGES:1092   VOLUME:17,Literature,http://dx.doi.org/10.1097/00002030-200305020-00023,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069181,Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,Digoxin,[Digoxin],2.5 h,,IC50,IC50,1.7,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069182,Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,[Lucifer yellow],[Lucifer yellow],,,IC50,IC50,1.7,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069187,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,[14C]-Ximelagatran,[Ximelagatran],180 min,,IC50,IC50,1.7,uM,DOI:10.1124/dmd.105.008607   JOURNAL:Drug Metabolism and Disposition   PAGES:775   VOLUME:34,Literature,http://dx.doi.org/10.1124/dmd.105.008607,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070399,Astemizole,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Mouse mdr1b expressing LLC-PK1 cells,,,Calcein AM,,,,IC50,IC50,1.7,μM,"Schwab, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070400,Cyclosporine2,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,NIH-3T3-G185 cells,,,Calcein AM,,,,IC50,IC50,1.7,μM,"Wang, 2001",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070402,Itraconazole4,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,NIH-3T3-G185 cells,,,Daunorubicin,,,,IC50,IC50,1.7,μM,"Wang, 2001",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070403,Itraconazole4,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,G185 cells,,,Daunorubicin,,,,IC50,IC50,1.7,μM,"Wang, 2002",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070404,Lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing Caco2 cells,,,Rhodamine 123,,,,IC50,IC50,1.7,μM,"Vishnuvardhan, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070405,"Verapamil2,4",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Hela cells,,,Hoechst 33342,,,,IC50,IC50,1.7,μM,"Cortes-Ciriano, 2013",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070406,"Verapamil2,4",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Ximelagatran,,,,IC50,IC50,1.7,μM,"Eriksson, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069188,Istradefylline,CCN1C(=O)N(CC)C2=C(N(C)C(/C=C/C3=CC=C(OC)C(OC)=C3)=N2)C1=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Digoxin,[Digoxin],,,IC50,IC50,1.74,uM,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022075/S-000 Part 06, page:31 PDF 4974k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069189,Istradefylline,CCN1C(=O)N(CC)C2=C(N(C)C(/C=C/C3=CC=C(OC)C(OC)=C3)=N2)C1=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Digoxin,[Digoxin],,,IC50,IC50,1.74,uM,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022075/S-000 Part 06, page:58 PDF 4974k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097613,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDA-MB-435/ LCC6 cells,0.06-10 uM,,Doxorubicin,"[Doxorubicin, Liposomal]",150 min,,Ki,Ki,1.75,uM,DOI:10.1021/jm201121b   JOURNAL:Journal of Medicinal Chemistry   PAGES:1999   VOLUME:55,Literature,http://dx.doi.org/10.1021/jm201121b,2012,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069192,Ketoconazole,[H][C@]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C@@](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,0.1-100 uM,,Quinidine,[Quinidine Sulfate],20-30 min,,IC50,IC50,1.79,uM,DOI:10.1007/s1331811469   JOURNAL:European Journal of Drug Metabolism and Pharmacokinetics   PAGES:115   VOLUME:36,Literature,http://dx.doi.org/10.1007/s13318-011-0046-9,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069194,Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"L-MDR1 cells, recombinant",0.05-50 uM,,Calcein AM,[Calcein acetomethoxy ester],45 min,,IC50,IC50,1.8,uM,DOI:10.1021/jm021012t   JOURNAL:Journal of Medicinal Chemistry   PAGES:1716   VOLUME:46,Literature,http://dx.doi.org/10.1021/jm021012t,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069199,Quinidine Gluconate,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,[14C]-Ximelagatran,[Ximelagatran],180 min,,IC50,IC50,1.8,uM,DOI:10.1124/dmd.105.008607   JOURNAL:Drug Metabolism and Disposition   PAGES:775   VOLUME:34,Literature,http://dx.doi.org/10.1124/dmd.105.008607,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069202,Quinidine Polygalacturonate,O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O.[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,[14C]-Ximelagatran,[Ximelagatran],180 min,,IC50,IC50,1.8,uM,DOI:10.1124/dmd.105.008607   JOURNAL:Drug Metabolism and Disposition   PAGES:775   VOLUME:34,Literature,http://dx.doi.org/10.1124/dmd.105.008607,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069204,Quinidine Sulfate,OS(O)(=O)=O.[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,[14C]-Ximelagatran,[Ximelagatran],180 min,,IC50,IC50,1.8,uM,DOI:10.1124/dmd.105.008607   JOURNAL:Drug Metabolism and Disposition   PAGES:775   VOLUME:34,Literature,http://dx.doi.org/10.1124/dmd.105.008607,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070407,Cyclosporine2,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,NIH-3T3-G185 cells,,,LDS-751,,,,IC50,IC50,1.8,μM,"Wang, 2001",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070408,Mibefradil,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing LLC-PK1 cells,,,Calcein AM,,,,IC50,IC50,1.8,μM,"Schwab, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
