CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL2064563	1357972	CHEMBL2064563	1357972		20	464.55	3.86	93.36	0	CN(C)C[C@@H](NC(=O)N1Cc2c(NC(=O)c3ccccc3F)n[nH]c2C1(C)C)c4ccccc4	10979986	Ratio	=	231	-	NA	Ratio	=	231			NA	0	BAO_0000179			832974	CHEMBL2067018	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	62797	CHEMBL2062373	22554206	J. Med. Chem.	2012	55	10	4728	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL348475	259664	CHEMBL348475	259664	TARIQUIDAR	Tariquidar	646.74	6.37	111.25	2	COc1cc2CCN(CCc3ccc(NC(=O)c4cc(OC)c(OC)cc4NC(=O)c5cnc6ccccc6c5)cc3)Cc2cc1OC	12689967	Ratio	=	22	-	NA	Ratio	=	22			NA	0	BAO_0000179			946237	CHEMBL2344561	A	Efflux ratio of apparent permeability from basolateral to apical to apical to basolateral side of human Caco2 cells after 120 mins	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72534	CHEMBL2331297	23374872	Bioorg. Med. Chem. Lett.	2013	23	5	1370	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1214999	686858	CHEMBL1214999	686858		12a	380.5	2.4	96.17	0	NC(=O)c1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4	3409199	Ratio	=	7.89	-	NA	Ratio	=	7.89			NA	0	BAO_0000179			650177	CHEMBL1219875	A	Ratio of permeability from apical to basolateral side to basolateral to apical side in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	52256	CHEMBL1212911	20684592	J. Med. Chem.	2010	53	15	5422	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3237952	1736501	CHEMBL3237952	1736501		8	438.52	5.09	55.38	1	COc1cccc(COc2ccccc2CCc3cc(OC)c(OC)c(OC)c3)c1OC	14578025	Ratio	=	3.45	-	NA	Ratio	=	3.45			NA	0	BAO_0000179			1338427	CHEMBL3240480	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 100 uM after 30 mins by UV spectroscopy	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	82452	CHEMBL3232943	24607999	Eur. J. Med. Chem.	2014	76	NA	558	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3261266	1746223	CHEMBL3261266	1746223		9a	472.54	2.07	130.12	0	COc1cc(OC)c(\C=C\S(=O)(=O)Cc2cnc(OC)c(NS(=O)(=O)C)c2)c(OC)c1	14648580	Ratio	=	5.29	-	NA	Ratio	=	5.29			NA	0	BAO_0000179			1352586	CHEMBL3265845	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	83045	CHEMBL3259791	24471873	J. Med. Chem.	2014	57	6	2275	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3261276	1746233	CHEMBL3261276	1746233		18	394.45	2.28	109.97	0	COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(N)n2)c(OC)c1	14647860	Ratio	=	0.79	-	NA	Ratio	=	0.79			NA	0	BAO_0000179			1352586	CHEMBL3265845	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	83045	CHEMBL3259791	24471873	J. Med. Chem.	2014	57	6	2275	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3218854	1725238	CHEMBL3218854	1725238		10i	494.98	3.21	118.39	0	COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCOCC6	14529169	Ratio	=	1.4	-	NA	Ratio	=	1.4			NA	0	BAO_0000179			1327928	CHEMBL3224734	A	Efflux ratio of permeability from basolateral to apical over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	81908	CHEMBL3217622	NA	MedChemComm	2012	3	9	1138	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3218855	1725239	CHEMBL3218855	1725239		10j	508.03	3.13	112.4	1	COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCN(C)CC6	14529170	Ratio	=	3.5	-	NA	Ratio	=	3.5			NA	0	BAO_0000179			1327928	CHEMBL3224734	A	Efflux ratio of permeability from basolateral to apical over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	81908	CHEMBL3217622	NA	MedChemComm	2012	3	9	1138	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3218859	1725243	CHEMBL3218859	1725243		10n	522.05	3.12	112.4	1	COc1cc(CN2CCN(C)CC2)ccc1c3nc4c(N[C@@H]5[C@@H]6C[C@@H](C=C6)[C@@H]5C(=O)N)c(Cl)cnc4[nH]3	14529172	Ratio	=	11	-	NA	Ratio	=	11			NA	0	BAO_0000179			1327928	CHEMBL3224734	A	Efflux ratio of permeability from basolateral to apical over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	81908	CHEMBL3217622	NA	MedChemComm	2012	3	9	1138	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3236707	1735243	CHEMBL3236707	1735243		51	437.31	3.86	92.26	0	CN(c1ccc(Cl)cc1)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(Cl)nn3	14598839	Ratio	=	0.7	-	NA	Ratio	=	0.7			NA	0	BAO_0000179			1337196	CHEMBL3240400	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells after 2 hrs	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	82439	CHEMBL3232865	24602787	Eur. J. Med. Chem.	2014	76	NA	414	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1951608	1280596	CHEMBL1951608	1280596		12b	497.6	2.74	100.88	0	CN1C(=O)N(Cc2nccc3ccccc23)C(=O)c4c1c(C	NA			NA		NA			NA			NA	NA				NA				NA			NA	NA			NA			NA			NA		NA	NA	NA		NA		NA	NA	NA	NA	NA			NA	NA
CHEMBL1957470	1283002	CHEMBL1957470	1283002		14	451.45	3.82	76.1	0	COc1cccc(c1F)c2cccc(c2)C3(N=C(N)N4CC(F)(F)CN=C34)c5ccncc5	8048708	Ratio	=	7.7	-	NA	Ratio	=	7.7			NA	0	BAO_0000179			807687	CHEMBL1959452	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 10 uM after 60 mins by LC-MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	61264	CHEMBL1955861	22325942	Bioorg. Med. Chem. Lett.	2012	22	5	1854	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1083437	632191	CHEMBL1083437	632191		rac-21	554.78	4.28	82.11	1	CCCCC1CN(CC2CCOCC2)C(=O)N1C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C	3315771	Ratio	=	40	-	NA	Ratio	=	40			NA	0	BAO_0000179			634197	CHEMBL1119779	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco-2 cells after 21 days	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	51335	CHEMBL1155507	20457517	Bioorg. Med. Chem. Lett.	2010	20	11	3219	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1928252	1269217	CHEMBL1928252	1269217		7d	547.68	1.75	135.54	1	CCN1CCN(CC1)S(=O)(=O)c2cnc(OCCOC)c(c2)C3=Nc4c(CC)n(CC(C)C)nc4C(=O)N3	7971969	Ratio	=	2.5	-	NA	Ratio	=	2.5			NA	0	BAO_0000179			791636	CHEMBL1930860	A	Efflux ratio of apparent permeability from apical to basolateral to basolateral to apical side of human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	60493	CHEMBL1926502	22100260	Bioorg. Med. Chem.	2012	20	1	498	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1939625	1274471	CHEMBL1939625	1274471		21	455.51	5.35	101.41	1	Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4cnc(OCC(C)(C)C(=O)O)nc4	8010340	Ratio	=	1.8	-	NA	Ratio	=	1.8			NA	0	BAO_0000179			797439	CHEMBL1943182	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	60878	CHEMBL1938228	22217874	Bioorg. Med. Chem. Lett.	2012	22	2	824	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1914472	1263200	CHEMBL1914472	1263200		6	678.82	4.31	120	1	CCC(C)[C@]1(CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc3cc(F)cc(F)c3)[C@H](O)CNCc4cccc(OC)c4)C1=O)NC(=O)C	7935581	Ratio	=	1.5	-	NA	Ratio	=	1.5			NA	0	BAO_0000179			787415	CHEMBL1919294	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side of human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	60156	CHEMBL1914436	21974952	Bioorg. Med. Chem. Lett.	2011	21	22	6909	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3105402	1613493	CHEMBL3105402	1613493		2e	396.47	1.9	86.37	0	O=C(CCC1=Nc2ccccc2C(=O)N1)N3CCN(CC3)C(=O)c4cccs4	13877805	Ratio	=	5.8	-	NA	Ratio	=	5.8			NA	0	BAO_0000179			1285748	CHEMBL3107872	A	Efflux ratio of permeability in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76577	CHEMBL3102760	24388690	Bioorg. Med. Chem. Lett.	2014	24	2	462	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3112854	1615807	CHEMBL3112854	1615807		16	424.38	1.64	87.76	0	FC(F)(F)Oc1cccc2N(CCc12)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	13913534	Ratio	>	10	-	NA	Ratio	>	10			NA	0	BAO_0000179			1289885	CHEMBL3119740	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76813	CHEMBL3112424	24387221	J. Med. Chem.	2014	57	3	903	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3112860	1615813	CHEMBL3112860	1615813		22	452.56	0.49	85.01	0	CN1CCN(Cc2cccc3N(CCc23)C(=O)CC4=NC(=CC(=O)N4)N5CCOCC5)CC1	13913528	Ratio	>	10	-	NA	Ratio	>	10			NA	0	BAO_0000179			1289885	CHEMBL3119740	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76813	CHEMBL3112424	24387221	J. Med. Chem.	2014	57	3	903	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3120495	1619807	CHEMBL3120495	1619807		2	250.34	2.76	57.53	0	CC1(C)C[C@H]2[C@H]1[C@@H](O)C\C(=C/CCC2=C)\C(=O)O	13928138	Ratio	=	0.94	-	NA	Ratio	=	0.94			NA	0	BAO_0000179			1292025	CHEMBL3124450	A	Efflux ratio of apparent permeability from basolateral to apical side to apical to basolateral side in human Caco2 cells at 25 uM at pH 7.4 by HPLC-DAD analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76937	CHEMBL3120128	24279746	J. Nat. Prod.	2014	77	3	464	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL257602	425797	CHEMBL257602	425797		R-26a	264.39	2	46.33	0	CCN(CC=C)C(=O)[C@]1(C[C@H]1CN)c2ccsc2	2170924	Ratio	=	8.9	-	NA	Ratio	=	8.9			NA	0	BAO_0000179			467796	CHEMBL931360	A	Ratio of permeability from basolateral to apical over apical to basolateral side of human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	38710	CHEMBL1143093	18468895	Bioorg. Med. Chem. Lett.	2008	18	11	3230	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3098545	1609315	CHEMBL3098545	1609315		T-ll	859.96	4.38	228.75	2	CO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(=C([C@@H](OC(=O)OC)C(=O)[C@]13C)C5(C)C)C	13865947	Ratio	=	3.75	-	NA	Ratio	=	3.75			NA	0	BAO_0000179			1282193	CHEMBL3102301	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 10 uM after 90 mins by LC-MS/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76427	CHEMBL3098054	24332858	Bioorg. Med. Chem.	2014	22	1	194	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1830420	1177126	CHEMBL1830420	1177126		10p	358.49	3.29	79.18	0	CCCCCCc1nc2cc(\C=C\C(=O)NO)ccc2n1CCNCC	6371666	Ratio	=	10.8	-	NA	Ratio	=	10.8			NA	0	BAO_0000179			769155	CHEMBL1832814	A	Efflux ratio of apparent permeability across apical to basolateral side over basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	58940	CHEMBL1828590	21634430	J. Med. Chem.	2011	54	13	4694	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL238765	401436	CHEMBL238765	401436		13'h	345.83	3.5	47.56	0	C[C@@H]1O[C@@H](OC[C@H]1NC(=O)Cc2ccccc2)c3ccc(Cl)cc3	2039287	Ratio	=	1.48	-	NA	Ratio	=	1.48			NA	0	BAO_0000179			456934	CHEMBL923280	A	Ratio of permeability from apical to basolateral side over basolateral to apical side of human Caco-2 cell membrane	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	37702	CHEMBL1140692	17609123	Bioorg. Med. Chem.	2007	15	18	6273	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1809085	1166786	CHEMBL1809085	1166786		14h	940.92	5.26	270.05	3	C\C=C(/C)\C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(c3)N=[N+]=[N-])[C@@H]4[C@@]5(CO[C@@H]5C[C@H](OC(=O)CC(F)(F)F)[C@@]4(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6	6294240	Ratio	=	2.2	-	NA	Ratio	=	2.2			NA	0	BAO_0000179			760077	CHEMBL1810400	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side in human Caco2 cells at 10 uM by LC/MS/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	58440	CHEMBL1806422	21764308	Bioorg. Med. Chem. Lett.	2011	21	16	4852	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2420616	1579409	CHEMBL2420616	1579409		28	353.26	0.94	91.9	0	CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(OC(F)(F)F)cc3	13425879	Ratio	=	0.46	-	NA	Ratio	=	0.46			NA	0	BAO_0000179			978862	CHEMBL2423653	A	Efflux ratio of permeability across basolateral to apical side over apical to basolateral side in human Caco2 cells expressing p-gp	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	74591	CHEMBL2417532	23859074	J. Med. Chem.	2013	56	16	6352	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL518931	515886	CHEMBL518931	515886		10b	368.52	3.5	24.94	0	COc1cccc(CCc2ccccc2OCCCN3CCN(C)CC3)c1	2385054	Ratio	=	4.7	-	NA	Ratio	=	4.7			NA	0	BAO_0000179			494041	CHEMBL938575	A	Ratio of apparent permeability from apical to basolateral over basolateral to apical side of human Caco-2 cells after 120 mins by UV-visible spectroscopy	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	45355	CHEMBL1140844	19053888	J. Med. Chem.	2008	51	23	7602	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2386416	1563182	CHEMBL2386416	1563182		3e	307.35	2.74	69.56	0	Oc1cccc(\C=C\2/CNC\C(=C/c3cccc(O)c3)\C2=O)c1	14975020	Ratio	=	1.42	-	NA	Ratio	=	1.42			NA	0	BAO_0000179			1434403	CHEMBL3387655	A	Ratio of apparent permeability from apical to basolateral side in MDCK cells to apparent permeability from apical to basolateral side in human Caco2 cells	1	Scientific Literature		NA	NA	Autocuration	BAO_0000219	22224	CHEMBL612558	ADMET	NA	ADMET		0	Unassigned	NA	NA	89802	CHEMBL3351337	25442312	Bioorg. Med. Chem. Lett.	2014	24	22	5199	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2386418	1563184	CHEMBL2386418	1563184		3d	395.46	3.36	66.02	0	COc1ccc(\C=C\2/CNC\C(=C/c3ccc(OC)c(OC)c3)\C2=O)cc1OC	14975019	Ratio	=	1.54	-	NA	Ratio	=	1.54			NA	0	BAO_0000179			1434403	CHEMBL3387655	A	Ratio of apparent permeability from apical to basolateral side in MDCK cells to apparent permeability from apical to basolateral side in human Caco2 cells	1	Scientific Literature		NA	NA	Autocuration	BAO_0000219	22224	CHEMBL612558	ADMET	NA	ADMET		0	Unassigned	NA	NA	89802	CHEMBL3351337	25442312	Bioorg. Med. Chem. Lett.	2014	24	22	5199	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2387005	1563777	CHEMBL2387005	1563777		5	488.5	5.59	126.54	1	Nc1ncnc2c1c(cn2C3CCCC3)c4nc5ccc(NC(=O)Nc6c(F)cccc6F)cc5[nH]4	13330079	Ratio	=	3.2	-	NA	Ratio	=	3.2			NA	0	BAO_0000179			961759	CHEMBL2389577	A	Efflux ratio of permeability across basolateral to apical side over apical to basolateral side in human Caco2 cells expressing p-gp	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	73712	CHEMBL2384974	23566514	Bioorg. Med. Chem. Lett.	2013	23	10	3059	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2409627	1574052	CHEMBL3039915	1592726		26	290.41	2.69	34.59	0	COCC[C@H]1C[C@@H]1c2cncc(OC[C@@H]3CCCN3C)c2.OC(=O)C(F)(F)F	13386570	Ratio	=	0.7	-	NA	Ratio	=	0.7			NA	0	BAO_0000179			975074	CHEMBL2412358	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at pH 7.4 in presence of P-gp inhibitor verapamil	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	74323	CHEMBL2407064	23734673	J. Med. Chem.	2013	56	13	5495	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL945	89526	CHEMBL945	89526	AMILORIDE	Amiloride	229.63	-1.08	156.79	0	NC(=N)NC(=O)c1nc(Cl)c(N)nc1N	81475	Ratio	=	0.83	-	NA	Ratio	=	0.83			NA	0	BAO_0000179			228690	CHEMBL851239	A	Ratio of [(apical to basal)/(basal to apical)] (Caco-2 cell monolayer)	1	Scientific Literature	Homo sapiens	NA	9606	Intermediate	BAO_0000218	50587	CHEMBL372	ORGANISM	NA	Homo sapiens	Homo sapiens	1	Non-molecular	NA	NA	15978	CHEMBL1134498	11384238	J. Med. Chem.	2001	44	12	1927	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL27	1370	CHEMBL27	1370	PROPRANOLOL	propranolol	259.35	2.58	41.49	0	CC(C)NCC(O)COc1cccc2ccccc12	15236063	Ratio	=	1	-	NA	Ratio	=	1			NA	0	BAO_0000179			1475880	CHEMBL3425200	A	Ratio of apparent permeability across apical to basolateral over basolateral to apical side in human Caco2 cells in presence of 0.1% bovine serum albumin	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	22224	CHEMBL612558	ADMET	NA	ADMET		0	Unassigned	NA	NA	91658	CHEMBL3421625	25738882	J. Med. Chem.	2015	58	7	3060	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2347407	1529235	CHEMBL2347407	1529235		18	392.46	3.26	119.58	0	CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3n[nH]c4c(cccc34)C(C)(C)O	12717321	Ratio	=	2	-	NA	Ratio	=	2			NA	0	BAO_0000179			949751	CHEMBL2350849	A	Efflux ratio of permeability in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72741	CHEMBL2346624	23350847	J. Med. Chem.	2013	56	4	1677	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2347763	1529594	CHEMBL2347763	1529594		5b	268.7	3.59	32.67	0	Clc1ccc2N3Cc4ccccc4N=C3C(=O)c2c1	12720876	Ratio	>	1	-	NA	Ratio	>	1			NA	0	BAO_0000179			951790	CHEMBL2352751	A	Efflux ratio in human Caco2 cells incubated for 1 hr at 37 degC by HPLC-MS/MS method	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72743	CHEMBL2346548	23360475	J. Nat. Prod.	2013	76	3	354	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL469946	516938	CHEMBL469946	516938		5b	282.38	2.3	46.33	0	CCN(CC(=C)F)C(=O)[C@]1(C[C@H]1CN)c2cccs2	2397227	Ratio	=	3.2	-	NA	Ratio	=	3.2			NA	0	BAO_0000179			493254	CHEMBL948484	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	45878	CHEMBL1152288	18954038	J. Med. Chem.	2008	51	22	7265	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2325479	1519658	CHEMBL2325479	1519658		3	272.14	2.65	51.89	0	CN(CC1=CC(=O)NN1)c2cc(Cl)cc(Cl)c2	12659302	Ratio	=	3.5	-	NA	Ratio	=	3.5			NA	0	BAO_0000179			941993	CHEMBL2330287	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72196	CHEMBL2321740	23445362	J. Med. Chem.	2013	56	6	2665	495	CHEMBL3307519	Caco-2	NA	NA
